mushaf_id,page_number,juz_number,start_text
1,281,14,"ثُمَّ إِنَّ رَبَّكَ"
1,282,15,"سُبْحَانَ الَّذِي أَسْرَى"
1,283,15,"عَسَى رَبُّكُمْ أَنْ"
1,284,15,"مَنْ كَانَ يُرِيدُ"
1,285,15,"وَإِمَّا تُعْرِضَنَّ عَنْهُمُ"
1,286,15,"ذَلِكَ مِمَّا أَوْحَى"
1,287,15,"قُلْ كُونُوا حِجَارَةً"
1,288,15,"وَمَا مَنَعَنَا أَنْ"
1,289,15,"وَإِذَا مَسَّكُمُ الضُّرُّ"
1,290,15,"وَإِنْ كَادُوا لَيَسْتَفِزُّونَكَ"
1,291,15,"إِلَّا رَحْمَةً مِنْ"
1,292,15,"وَمَنْ يَهْدِ اللَّهُ"
1,293,15,"وَبِالْحَقِّ أَنْزَلْنَاهُ وَبِالْحَقِّ"
1,294,15,"مَا لَهُمْ بِهِ"
1,295,15,"وَإِذِ اعْتَزَلْتُمُوهُمْ وَمَا"
1,296,15,"وَكَذَلِكَ أَعْثَرْنَا عَلَيْهِمْ"
1,297,15,"وَاصْبِرْ نَفْسَكَ مَعَ"
1,298,15,"وَدَخَلَ جَنَّتَهُ وَهُوَ"
1,299,15,"الْمَالُ وَالْبَنُونَ زِينَةُ"
1,300,15,"وَلَقَدْ صَرَّفْنَا فِي"
1,301,15,"فَلَمَّا جَاوَزَا قَالَ"
1,302,16,"قَالَ أَلَمْ أَقُلْ"
1,303,16,"إِنَّا مَكَّنَّا لَهُ"
1,304,16,"قَالَ هَذَا رَحْمَةٌ"
1,305,16,"كهيعص ذِكْرُ رَحْمَتِ"
1,306,16,"يَايَحْيَى خُذِ الْكِتَابَ"
1,307,16,"فَكُلِي وَاشْرَبِي وَقَرِّي"
1,308,16,"وَأَنْذِرْهُمْ يَوْمَ الْحَسْرَةِ"
1,309,16,"وَنَادَيْنَاهُ مِنْ جَانِبِ"
1,310,16,"رَبُّ السَّمَاوَاتِ وَالْأَرْضِ"
1,311,16,"أَفَرَأَيْتَ الَّذِي كَفَرَ"
1,312,16,"إِنَّ الَّذِينَ آمَنُوا"
1,313,16,"وَأَنَا اخْتَرْتُكَ فَاسْتَمِعْ"
1,314,16,"إِذْ أَوْحَيْنَا إِلَى"
1,315,16,"قَالَ عِلْمُهَا عِنْدَ"
1,316,16,"قَالُوا يَامُوسَى إِمَّا"
1,317,16,"وَلَقَدْ أَوْحَيْنَا إِلَى"
1,318,16,"فَأَخْرَجَ لَهُمْ عِجْلًا"
1,319,16,"كَذَلِكَ نَقُصُّ عَلَيْكَ"
1,320,16,"فَتَعَالَى اللَّهُ الْمَلِكُ"
1,321,16,"قَالَ كَذَلِكَ أَتَتْكَ"
1,322,17,"اقْتَرَبَ لِلنَّاسِ حِسَابُهُمْ"
1,323,17,"وَكَمْ قَصَمْنَا مِنْ"
1,324,17,"وَمَا أَرْسَلْنَا مِنْ"
1,325,17,"وَإِذَا رَآكَ الَّذِينَ"
1,326,17,"قُلْ إِنَّمَا أُنْذِرُكُمْ"
1,327,17,"فَجَعَلَهُمْ جُذَاذًا إِلَّا"
1,328,17,"وَجَعَلْنَاهُمْ أَئِمَّةً يَهْدُونَ"
1,329,17,"وَمِنَ الشَّيَاطِينِ مَنْ"
1,330,17,"وَالَّتِي أَحْصَنَتْ فَرْجَهَا"
1,331,17,"لَا يَسْمَعُونَ حَسِيسَهَا"
1,332,17,"يَاأَيُّهَا النَّاسُ اتَّقُوا"
1,333,17,"ذَلِكَ بِأَنَّ اللَّهَ"
1,334,17,"وَكَذَلِكَ أَنْزَلْنَاهُ آيَاتٍ"
1,335,17,"وَهُدُوا إِلَى الطَّيِّبِ"
1,336,17,"حُنَفَاءَ لِلَّهِ غَيْرَ"
1,337,17,"أُذِنَ لِلَّذِينَ يُقَاتَلُونَ"
1,338,17,"وَيَسْتَعْجِلُونَكَ بِالْعَذَابِ وَلَنْ"
1,339,17,"الْمُلْكُ يَوْمَئِذٍ لِلَّهِ"
1,340,17,"أَلَمْ تَرَ أَنَّ"
1,341,17,"يَاأَيُّهَا النَّاسُ ضُرِبَ"
1,342,18,"قَدْ أَفْلَحَ الْمُؤْمِنُونَ"
1,343,18,"وَأَنْزَلْنَا مِنَ السَّمَاءِ"
1,344,18,"فَإِذَا اسْتَوَيْتَ أَنْتَ"
1,345,18,"مَا تَسْبِقُ مِنْ"
1,346,18,"وَالَّذِينَ يُؤْتُونَ مَا"
1,347,18,"وَلَوْ رَحِمْنَاهُمْ وَكَشَفْنَا"
1,348,18,"بَلْ أَتَيْنَاهُمْ بِالْحَقِّ"
1,349,18,"أَلَمْ تَكُنْ آيَاتِي"
1,350,18,"سُورَةٌ أَنْزَلْنَاهَا وَفَرَضْنَاهَا"
1,351,18,"إِنَّ الَّذِينَ جَاءُوا"
1,352,18,"يَاأَيُّهَا الَّذِينَ آمَنُوا"
1,353,18,"فَإِنْ لَمْ تَجِدُوا"
1,354,18,"وَأَنْكِحُوا الْأَيَامَى مِنْكُمْ"
1,355,18,"رِجَالٌ لَا تُلْهِيهِمْ"
1,356,18,"يُقَلِّبُ اللَّهُ اللَّيْلَ"
1,357,18,"قُلْ أَطِيعُوا اللَّهَ"
1,358,18,"وَإِذَا بَلَغَ الْأَطْفَالُ"
1,359,18,"إِنَّمَا الْمُؤْمِنُونَ الَّذِينَ"
1,360,18,"وَاتَّخَذُوا مِنْ دُونِهِ"
1,361,18,"إِذَا رَأَتْهُمْ مِنْ"
1,362,19,"وَقَالَ الَّذِينَ لَا"
1,363,19,"وَلَا يَأْتُونَكَ بِمَثَلٍ"
1,364,19,"أَمْ تَحْسَبُ أَنَّ"
1,365,19,"وَمَا أَرْسَلْنَاكَ إِلَّا"
1,366,19,"وَالَّذِينَ لَا يَدْعُونَ"
1,367,19,"طسم تِلْكَ آيَاتُ"
1,368,19,"قَالَ فَعَلْتُهَا إِذًا"
1,369,19,"لَعَلَّنَا نَتَّبِعُ السَّحَرَةَ"
