id,page,juz,surah,description,start
185,185,Juz 10,8. Al Anfal,,وَإِنْ يُرِيدُوا أَنْ
186,186,Juz 10,8. Al Anfal,8 Al Anfal End,يَاأَيُّهَا النَّبِيُّ قُلْ
187,187,Juz 10,9. At Tawbah,9 At Tawbah Start,بَرَاءَةٌ مِنَ اللَّهِ
188,188,Juz 10,9. At Tawbah,,كَيْفَ يَكُونُ لِلْمُشْرِكِينَ
189,189,Juz 10,9. At Tawbah,,قَاتِلُوهُمْ يُعَذِّبْهُمُ اللَّهُ
190,190,Juz 10,9. At Tawbah,,يُبَشِّرُهُمْ رَبُّهُمْ بِرَحْمَةٍ
191,191,Juz 10,9. At Tawbah,,ثُمَّ يَتُوبُ اللَّهُ
192,192,Juz 10,9. At Tawbah,,يُرِيدُونَ أَنْ يُطْفِئُوا
193,193,Juz 10,9. At Tawbah,,إِنَّمَا النَّسِيءُ زِيَادَةٌ
194,194,Juz 10,9. At Tawbah,,انْفِرُوا خِفَافًا وَثِقَالًا
195,195,Juz 10,9. At Tawbah,,لَقَدِ ابْتَغَوُا الْفِتْنَةَ
196,196,Juz 10,9. At Tawbah,,فَلَا تُعْجِبْكَ أَمْوَالُهُمْ
197,197,Juz 10,9. At Tawbah,,يَحْلِفُونَ بِاللَّهِ لَكُمْ
198,198,Juz 10,9. At Tawbah,,كَالَّذِينَ مِنْ قَبْلِكُمْ
199,199,Juz 10,9. At Tawbah,,يَاأَيُّهَا النَّبِيُّ جَاهِدِ
200,200,Juz 10,9. At Tawbah,,اسْتَغْفِرْ لَهُمْ أَوْ
201,201,Juz 10,9. At Tawbah,Juz 10 End,رَضُوا بِأَنْ يَكُونُوا
202,202,Juz 11,9. At Tawbah,Juz 11 Start,يَعْتَذِرُونَ إِلَيْكُمْ إِذَا
203,203,Juz 11,9. At Tawbah,,وَالسَّابِقُونَ الْأَوَّلُونَ مِنَ
204,204,Juz 11,9. At Tawbah,,وَالَّذِينَ اتَّخَذُوا مَسْجِدًا
205,205,Juz 11,9. At Tawbah,,التَّائِبُونَ الْعَابِدُونَ الْحَامِدُونَ
206,206,Juz 11,9. At Tawbah,,وَعَلَى الثَّلَاثَةِ الَّذِينَ
207,207,Juz 11,9. At Tawbah,9 At Tawbah End,يَاأَيُّهَا الَّذِينَ آمَنُوا
208,208,Juz 11,10. Yunus,10 Yunus Start,الر تِلْكَ آيَاتُ
209,209,Juz 11,10. Yunus,,إِنَّ الَّذِينَ لَا
210,210,Juz 11,10. Yunus,,وَإِذَا تُتْلَى عَلَيْهِمْ
211,211,Juz 11,10. Yunus,,وَإِذَا أَذَقْنَا النَّاسَ
212,212,Juz 11,10. Yunus,,لِلَّذِينَ أَحْسَنُوا الْحُسْنَى
213,213,Juz 11,10. Yunus,,قُلْ هَلْ مِنْ
214,214,Juz 11,10. Yunus,,وَمِنْهُمْ مَنْ يَنْظُرُ
215,215,Juz 11,10. Yunus,,وَلَوْ أَنَّ لِكُلِّ
216,216,Juz 11,10. Yunus,,أَلَا إِنَّ أَوْلِيَاءَ
217,217,Juz 11,10. Yunus,,وَاتْلُ عَلَيْهِمْ نَبَأَ
218,218,Juz 11,10. Yunus,,وَقَالَ فِرْعَوْنُ ائْتُونِي
219,219,Juz 11,10. Yunus,,قَالَ قَدْ أُجِيبَتْ
220,220,Juz 11,10. Yunus,10 Yunus End,فَلَوْلَا كَانَتْ قَرْيَةٌ
221,221,Juz 11,11. Hud,11 Hud Start,وَإِنْ يَمْسَسْكَ اللَّهُ
222,222,Juz 12,11. Hud,,وَمَا مِنْ دَابَّةٍ
